2026-03-26 16:56:56,374 - WARNING - 550973 | HH SSH000043 | Parents [30, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,374 - WARNING - 550973 | HH SSH000044 | Parents [27, 29] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,375 - WARNING - 550973 | HH SSH000045 | Parents [30, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,376 - WARNING - 550973 | HH SSH000046 | Parents [25, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,376 - WARNING - 550973 | HH SSH000047 | Parents [27, 30] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,376 - WARNING - 550973 | HH SSH000048 | Parents [26, 31] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,376 - WARNING - 550973 | HH SSH000049 | Parents [28, 29] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,376 - WARNING - 550973 | HH SSH000050 | Parents [27, 29] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,376 - WARNING - 550973 | HH SSH000051 | Parents [26, 31] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,376 - WARNING - 550973 | HH SSH000052 | Parents [26, 31] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,376 - WARNING - 550973 | HH SSH000053 | Parents [26, 31] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,376 - WARNING - 550973 | HH SSH000054 | Parents [25, 31] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,376 - WARNING - 550973 | HH SSH000055 | Parents [25, 32] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,381 - WARNING - 550973 | HH SSH000056 | Parents [30, 28] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,381 - WARNING - 550973 | HH SSH000057 | Parents [30, 27] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
2026-03-26 16:56:56,382 - WARNING - 550973 | HH SSH000058 | Parents [26, 31] | Children [0] | Score=20.0 (bio=0.0, emp=0.0)
