"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"Perioden";"Regio's";"Bevolking op 1 januari (aantal)"
"Mannen";"70 tot 75 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";1398
"Mannen";"70 tot 75 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";1711
"Mannen";"75 tot 80 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";4136
"Mannen";"75 tot 80 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";958
"Mannen";"75 tot 80 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";1077
"Mannen";"80 tot 85 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";2717
"Mannen";"80 tot 85 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";604
"Mannen";"80 tot 85 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";485
"Mannen";"85 tot 90 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";1570
"Mannen";"85 tot 90 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";286
"Mannen";"85 tot 90 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";166
"Mannen";"90 tot 95 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";641
"Mannen";"90 tot 95 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";106
"Mannen";"90 tot 95 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";35
"Mannen";"95 jaar of ouder";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";169
"Mannen";"95 jaar of ouder";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";33
"Mannen";"95 jaar of ouder";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";11
"Vrouwen";"0 tot 5 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6174
"Vrouwen";"0 tot 5 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";3076
"Vrouwen";"0 tot 5 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6130
"Vrouwen";"5 tot 10 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6182
"Vrouwen";"5 tot 10 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";2810
"Vrouwen";"5 tot 10 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6340
"Vrouwen";"10 tot 15 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";5859
"Vrouwen";"10 tot 15 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";2327
"Vrouwen";"10 tot 15 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6339
"Vrouwen";"15 tot 20 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";5783
"Vrouwen";"15 tot 20 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";2545
"Vrouwen";"15 tot 20 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6853
"Vrouwen";"20 tot 25 jaar";"Nederlandse achtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";6105
"Vrouwen";"20 tot 25 jaar";"Westerse migratieachtergrond";"Totaal";"2019";"'s-Gravenhage (gemeente)";3911
