"Geslacht";"Leeftijd";"Geboorteland (ouders)";"Herkomstland";"Onderwijsniveau";"Perioden";"Bevolking (x 1000)"
"Mannen";"25 tot 35 jaar";"Totaal";"Europa (exclusief Nederland)";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";11
"Mannen";"25 tot 35 jaar";"Totaal";"Europa (exclusief Nederland)";"Weet niet of onbekend";"2019 3e kwartaal";3
"Mannen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"111 Basisonderwijs";"2019 3e kwartaal";11
"Mannen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";18
"Mannen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";10
"Mannen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"211 Mbo2 en mbo3";"2019 3e kwartaal";39
"Mannen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"212 Mbo4";"2019 3e kwartaal";35
"Mannen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"213 Havo, vwo";"2019 3e kwartaal";27
"Mannen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";59
"Mannen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";25
"Mannen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"Weet niet of onbekend";"2019 3e kwartaal";5
"Mannen";"35 tot 45 jaar";"Totaal";"Nederland";"111 Basisonderwijs";"2019 3e kwartaal";21
"Mannen";"35 tot 45 jaar";"Totaal";"Nederland";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";55
"Mannen";"35 tot 45 jaar";"Totaal";"Nederland";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";23
"Mannen";"35 tot 45 jaar";"Totaal";"Nederland";"211 Mbo2 en mbo3";"2019 3e kwartaal";108
"Mannen";"35 tot 45 jaar";"Totaal";"Nederland";"212 Mbo4";"2019 3e kwartaal";131
"Mannen";"35 tot 45 jaar";"Totaal";"Nederland";"213 Havo, vwo";"2019 3e kwartaal";46
"Mannen";"35 tot 45 jaar";"Totaal";"Nederland";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";195
"Mannen";"35 tot 45 jaar";"Totaal";"Nederland";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";128
"Mannen";"35 tot 45 jaar";"Totaal";"Nederland";"Weet niet of onbekend";"2019 3e kwartaal";7
"Mannen";"35 tot 45 jaar";"Totaal";"Europa (exclusief Nederland)";"111 Basisonderwijs";"2019 3e kwartaal";5
"Mannen";"35 tot 45 jaar";"Totaal";"Europa (exclusief Nederland)";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";7
"Mannen";"35 tot 45 jaar";"Totaal";"Europa (exclusief Nederland)";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";2
"Mannen";"35 tot 45 jaar";"Totaal";"Europa (exclusief Nederland)";"211 Mbo2 en mbo3";"2019 3e kwartaal";10
"Mannen";"35 tot 45 jaar";"Totaal";"Europa (exclusief Nederland)";"212 Mbo4";"2019 3e kwartaal";7
