"Geslacht";"Leeftijd";"Geboorteland (ouders)";"Herkomstland";"Onderwijsniveau";"Perioden";"Bevolking (x 1000)"
"Vrouwen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";18
"Vrouwen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";2
"Vrouwen";"15 tot 25 jaar";"Totaal";"Buiten Europa";"Weet niet of onbekend";"2019 3e kwartaal";1
"Vrouwen";"25 tot 35 jaar";"Totaal";"Nederland";"111 Basisonderwijs";"2019 3e kwartaal";13
"Vrouwen";"25 tot 35 jaar";"Totaal";"Nederland";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";30
"Vrouwen";"25 tot 35 jaar";"Totaal";"Nederland";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";19
"Vrouwen";"25 tot 35 jaar";"Totaal";"Nederland";"211 Mbo2 en mbo3";"2019 3e kwartaal";90
"Vrouwen";"25 tot 35 jaar";"Totaal";"Nederland";"212 Mbo4";"2019 3e kwartaal";130
"Vrouwen";"25 tot 35 jaar";"Totaal";"Nederland";"213 Havo, vwo";"2019 3e kwartaal";37
"Vrouwen";"25 tot 35 jaar";"Totaal";"Nederland";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";255
"Vrouwen";"25 tot 35 jaar";"Totaal";"Nederland";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";168
"Vrouwen";"25 tot 35 jaar";"Totaal";"Nederland";"Weet niet of onbekend";"2019 3e kwartaal";5
"Vrouwen";"25 tot 35 jaar";"Totaal";"Europa (exclusief Nederland)";"111 Basisonderwijs";"2019 3e kwartaal";3
"Vrouwen";"25 tot 35 jaar";"Totaal";"Europa (exclusief Nederland)";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";6
"Vrouwen";"25 tot 35 jaar";"Totaal";"Europa (exclusief Nederland)";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";3
"Vrouwen";"25 tot 35 jaar";"Totaal";"Europa (exclusief Nederland)";"211 Mbo2 en mbo3";"2019 3e kwartaal";11
"Vrouwen";"25 tot 35 jaar";"Totaal";"Europa (exclusief Nederland)";"212 Mbo4";"2019 3e kwartaal";9
"Vrouwen";"25 tot 35 jaar";"Totaal";"Europa (exclusief Nederland)";"213 Havo, vwo";"2019 3e kwartaal";11
"Vrouwen";"25 tot 35 jaar";"Totaal";"Europa (exclusief Nederland)";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";32
"Vrouwen";"25 tot 35 jaar";"Totaal";"Europa (exclusief Nederland)";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";26
"Vrouwen";"25 tot 35 jaar";"Totaal";"Europa (exclusief Nederland)";"Weet niet of onbekend";"2019 3e kwartaal";2
"Vrouwen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"111 Basisonderwijs";"2019 3e kwartaal";16
"Vrouwen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";16
"Vrouwen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";11
"Vrouwen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"211 Mbo2 en mbo3";"2019 3e kwartaal";24
"Vrouwen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"212 Mbo4";"2019 3e kwartaal";40
"Vrouwen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"213 Havo, vwo";"2019 3e kwartaal";19
"Vrouwen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";63
"Vrouwen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";41
"Vrouwen";"25 tot 35 jaar";"Totaal";"Buiten Europa";"Weet niet of onbekend";"2019 3e kwartaal";4
"Vrouwen";"35 tot 45 jaar";"Totaal";"Nederland";"111 Basisonderwijs";"2019 3e kwartaal";15
"Vrouwen";"35 tot 45 jaar";"Totaal";"Nederland";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";30
"Vrouwen";"35 tot 45 jaar";"Totaal";"Nederland";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";31
"Vrouwen";"35 tot 45 jaar";"Totaal";"Nederland";"211 Mbo2 en mbo3";"2019 3e kwartaal";85
"Vrouwen";"35 tot 45 jaar";"Totaal";"Nederland";"212 Mbo4";"2019 3e kwartaal";141
"Vrouwen";"35 tot 45 jaar";"Totaal";"Nederland";"213 Havo, vwo";"2019 3e kwartaal";32
"Vrouwen";"35 tot 45 jaar";"Totaal";"Nederland";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";195
"Vrouwen";"35 tot 45 jaar";"Totaal";"Nederland";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";140
"Vrouwen";"35 tot 45 jaar";"Totaal";"Nederland";"Weet niet of onbekend";"2019 3e kwartaal";8
"Vrouwen";"35 tot 45 jaar";"Totaal";"Europa (exclusief Nederland)";"111 Basisonderwijs";"2019 3e kwartaal";3
"Vrouwen";"35 tot 45 jaar";"Totaal";"Europa (exclusief Nederland)";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";4
"Vrouwen";"35 tot 45 jaar";"Totaal";"Europa (exclusief Nederland)";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";3
"Vrouwen";"35 tot 45 jaar";"Totaal";"Europa (exclusief Nederland)";"211 Mbo2 en mbo3";"2019 3e kwartaal";14
"Vrouwen";"35 tot 45 jaar";"Totaal";"Europa (exclusief Nederland)";"212 Mbo4";"2019 3e kwartaal";7
"Vrouwen";"35 tot 45 jaar";"Totaal";"Europa (exclusief Nederland)";"213 Havo, vwo";"2019 3e kwartaal";9
"Vrouwen";"35 tot 45 jaar";"Totaal";"Europa (exclusief Nederland)";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";26
"Vrouwen";"35 tot 45 jaar";"Totaal";"Europa (exclusief Nederland)";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";31
"Vrouwen";"35 tot 45 jaar";"Totaal";"Europa (exclusief Nederland)";"Weet niet of onbekend";"2019 3e kwartaal";2
"Vrouwen";"35 tot 45 jaar";"Totaal";"Buiten Europa";"111 Basisonderwijs";"2019 3e kwartaal";25
"Vrouwen";"35 tot 45 jaar";"Totaal";"Buiten Europa";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";23
"Vrouwen";"35 tot 45 jaar";"Totaal";"Buiten Europa";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";10
"Vrouwen";"35 tot 45 jaar";"Totaal";"Buiten Europa";"211 Mbo2 en mbo3";"2019 3e kwartaal";29
"Vrouwen";"35 tot 45 jaar";"Totaal";"Buiten Europa";"212 Mbo4";"2019 3e kwartaal";29
"Vrouwen";"35 tot 45 jaar";"Totaal";"Buiten Europa";"213 Havo, vwo";"2019 3e kwartaal";20
"Vrouwen";"35 tot 45 jaar";"Totaal";"Buiten Europa";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";61
"Vrouwen";"35 tot 45 jaar";"Totaal";"Buiten Europa";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";35
"Vrouwen";"35 tot 45 jaar";"Totaal";"Buiten Europa";"Weet niet of onbekend";"2019 3e kwartaal";9
"Vrouwen";"45 tot 55 jaar";"Totaal";"Nederland";"111 Basisonderwijs";"2019 3e kwartaal";27
"Vrouwen";"45 tot 55 jaar";"Totaal";"Nederland";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";83
"Vrouwen";"45 tot 55 jaar";"Totaal";"Nederland";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";60
"Vrouwen";"45 tot 55 jaar";"Totaal";"Nederland";"211 Mbo2 en mbo3";"2019 3e kwartaal";139
"Vrouwen";"45 tot 55 jaar";"Totaal";"Nederland";"212 Mbo4";"2019 3e kwartaal";221
"Vrouwen";"45 tot 55 jaar";"Totaal";"Nederland";"213 Havo, vwo";"2019 3e kwartaal";58
"Vrouwen";"45 tot 55 jaar";"Totaal";"Nederland";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";211
"Vrouwen";"45 tot 55 jaar";"Totaal";"Nederland";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";109
"Vrouwen";"45 tot 55 jaar";"Totaal";"Nederland";"Weet niet of onbekend";"2019 3e kwartaal";8
"Vrouwen";"45 tot 55 jaar";"Totaal";"Europa (exclusief Nederland)";"111 Basisonderwijs";"2019 3e kwartaal";7
"Vrouwen";"45 tot 55 jaar";"Totaal";"Europa (exclusief Nederland)";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";8
"Vrouwen";"45 tot 55 jaar";"Totaal";"Europa (exclusief Nederland)";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";8
"Vrouwen";"45 tot 55 jaar";"Totaal";"Europa (exclusief Nederland)";"211 Mbo2 en mbo3";"2019 3e kwartaal";17
"Vrouwen";"45 tot 55 jaar";"Totaal";"Europa (exclusief Nederland)";"212 Mbo4";"2019 3e kwartaal";14
"Vrouwen";"45 tot 55 jaar";"Totaal";"Europa (exclusief Nederland)";"213 Havo, vwo";"2019 3e kwartaal";9
"Vrouwen";"45 tot 55 jaar";"Totaal";"Europa (exclusief Nederland)";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";20
"Vrouwen";"45 tot 55 jaar";"Totaal";"Europa (exclusief Nederland)";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";22
"Vrouwen";"45 tot 55 jaar";"Totaal";"Europa (exclusief Nederland)";"Weet niet of onbekend";"2019 3e kwartaal";4
"Vrouwen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"111 Basisonderwijs";"2019 3e kwartaal";32
"Vrouwen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";15
"Vrouwen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";12
"Vrouwen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"211 Mbo2 en mbo3";"2019 3e kwartaal";27
"Vrouwen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"212 Mbo4";"2019 3e kwartaal";24
"Vrouwen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"213 Havo, vwo";"2019 3e kwartaal";17
"Vrouwen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";39
"Vrouwen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";26
"Vrouwen";"45 tot 55 jaar";"Totaal";"Buiten Europa";"Weet niet of onbekend";"2019 3e kwartaal";9
"Vrouwen";"55 tot 65 jaar";"Totaal";"Nederland";"111 Basisonderwijs";"2019 3e kwartaal";69
"Vrouwen";"55 tot 65 jaar";"Totaal";"Nederland";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";130
"Vrouwen";"55 tot 65 jaar";"Totaal";"Nederland";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";94
"Vrouwen";"55 tot 65 jaar";"Totaal";"Nederland";"211 Mbo2 en mbo3";"2019 3e kwartaal";166
"Vrouwen";"55 tot 65 jaar";"Totaal";"Nederland";"212 Mbo4";"2019 3e kwartaal";124
"Vrouwen";"55 tot 65 jaar";"Totaal";"Nederland";"213 Havo, vwo";"2019 3e kwartaal";81
"Vrouwen";"55 tot 65 jaar";"Totaal";"Nederland";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";184
"Vrouwen";"55 tot 65 jaar";"Totaal";"Nederland";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";79
"Vrouwen";"55 tot 65 jaar";"Totaal";"Nederland";"Weet niet of onbekend";"2019 3e kwartaal";8
"Vrouwen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"111 Basisonderwijs";"2019 3e kwartaal";8
"Vrouwen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";8
"Vrouwen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";7
"Vrouwen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"211 Mbo2 en mbo3";"2019 3e kwartaal";12
"Vrouwen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"212 Mbo4";"2019 3e kwartaal";8
"Vrouwen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"213 Havo, vwo";"2019 3e kwartaal";8
"Vrouwen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";19
"Vrouwen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";11
"Vrouwen";"55 tot 65 jaar";"Totaal";"Europa (exclusief Nederland)";"Weet niet of onbekend";"2019 3e kwartaal";3
"Vrouwen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"111 Basisonderwijs";"2019 3e kwartaal";24
"Vrouwen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";13
"Vrouwen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";14
"Vrouwen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"211 Mbo2 en mbo3";"2019 3e kwartaal";22
"Vrouwen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"212 Mbo4";"2019 3e kwartaal";10
"Vrouwen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"213 Havo, vwo";"2019 3e kwartaal";14
"Vrouwen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";25
"Vrouwen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";17
"Vrouwen";"55 tot 65 jaar";"Totaal";"Buiten Europa";"Weet niet of onbekend";"2019 3e kwartaal";9
"Vrouwen";"65 tot 75 jaar";"Totaal";"Nederland";"111 Basisonderwijs";"2019 3e kwartaal";124
"Vrouwen";"65 tot 75 jaar";"Totaal";"Nederland";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";182
"Vrouwen";"65 tot 75 jaar";"Totaal";"Nederland";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";105
"Vrouwen";"65 tot 75 jaar";"Totaal";"Nederland";"211 Mbo2 en mbo3";"2019 3e kwartaal";139
"Vrouwen";"65 tot 75 jaar";"Totaal";"Nederland";"212 Mbo4";"2019 3e kwartaal";78
"Vrouwen";"65 tot 75 jaar";"Totaal";"Nederland";"213 Havo, vwo";"2019 3e kwartaal";46
"Vrouwen";"65 tot 75 jaar";"Totaal";"Nederland";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";126
"Vrouwen";"65 tot 75 jaar";"Totaal";"Nederland";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";41
"Vrouwen";"65 tot 75 jaar";"Totaal";"Nederland";"Weet niet of onbekend";"2019 3e kwartaal";9
"Vrouwen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"111 Basisonderwijs";"2019 3e kwartaal";4
"Vrouwen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";11
"Vrouwen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";11
"Vrouwen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"211 Mbo2 en mbo3";"2019 3e kwartaal";7
"Vrouwen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"212 Mbo4";"2019 3e kwartaal";1
"Vrouwen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"213 Havo, vwo";"2019 3e kwartaal";3
"Vrouwen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";11
"Vrouwen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";2
"Vrouwen";"65 tot 75 jaar";"Totaal";"Europa (exclusief Nederland)";"Weet niet of onbekend";"2019 3e kwartaal";1
"Vrouwen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"111 Basisonderwijs";"2019 3e kwartaal";9
"Vrouwen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";8
"Vrouwen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";7
"Vrouwen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"211 Mbo2 en mbo3";"2019 3e kwartaal";10
"Vrouwen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"212 Mbo4";"2019 3e kwartaal";3
"Vrouwen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"213 Havo, vwo";"2019 3e kwartaal";6
"Vrouwen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";15
"Vrouwen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";4
"Vrouwen";"65 tot 75 jaar";"Totaal";"Buiten Europa";"Weet niet of onbekend";"2019 3e kwartaal";3
"Vrouwen";"75 jaar of ouder";"Totaal";"Nederland";"111 Basisonderwijs";"2019 3e kwartaal";144
"Vrouwen";"75 jaar of ouder";"Totaal";"Nederland";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";174
"Vrouwen";"75 jaar of ouder";"Totaal";"Nederland";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";70
"Vrouwen";"75 jaar of ouder";"Totaal";"Nederland";"211 Mbo2 en mbo3";"2019 3e kwartaal";86
"Vrouwen";"75 jaar of ouder";"Totaal";"Nederland";"212 Mbo4";"2019 3e kwartaal";31
"Vrouwen";"75 jaar of ouder";"Totaal";"Nederland";"213 Havo, vwo";"2019 3e kwartaal";32
"Vrouwen";"75 jaar of ouder";"Totaal";"Nederland";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";60
"Vrouwen";"75 jaar of ouder";"Totaal";"Nederland";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";9
"Vrouwen";"75 jaar of ouder";"Totaal";"Nederland";"Weet niet of onbekend";"2019 3e kwartaal";8
"Vrouwen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"111 Basisonderwijs";"2019 3e kwartaal";12
"Vrouwen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";12
"Vrouwen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";6
"Vrouwen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"211 Mbo2 en mbo3";"2019 3e kwartaal";8
"Vrouwen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"212 Mbo4";"2019 3e kwartaal";3
"Vrouwen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"213 Havo, vwo";"2019 3e kwartaal";4
"Vrouwen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";11
"Vrouwen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";2
"Vrouwen";"75 jaar of ouder";"Totaal";"Europa (exclusief Nederland)";"Weet niet of onbekend";"2019 3e kwartaal";3
"Vrouwen";"75 jaar of ouder";"Totaal";"Buiten Europa";"111 Basisonderwijs";"2019 3e kwartaal";13
"Vrouwen";"75 jaar of ouder";"Totaal";"Buiten Europa";"121 Vmbo-b/k, mbo1";"2019 3e kwartaal";1
"Vrouwen";"75 jaar of ouder";"Totaal";"Buiten Europa";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2019 3e kwartaal";8
"Vrouwen";"75 jaar of ouder";"Totaal";"Buiten Europa";"211 Mbo2 en mbo3";"2019 3e kwartaal";4
"Vrouwen";"75 jaar of ouder";"Totaal";"Buiten Europa";"212 Mbo4";"2019 3e kwartaal";1
"Vrouwen";"75 jaar of ouder";"Totaal";"Buiten Europa";"213 Havo, vwo";"2019 3e kwartaal";3
"Vrouwen";"75 jaar of ouder";"Totaal";"Buiten Europa";"311 Hbo-, wo-bachelor";"2019 3e kwartaal";6
"Vrouwen";"75 jaar of ouder";"Totaal";"Buiten Europa";"321 Hbo-, wo-master, doctor";"2019 3e kwartaal";0
"Vrouwen";"75 jaar of ouder";"Totaal";"Buiten Europa";"Weet niet of onbekend";"2019 3e kwartaal";2
